Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2016-11-25,89.25,89.5,89.0,89.0,1409,0,0,ENEA.ST
2016-11-28,87.75,88.75,87.75,88.75,1768,0,0,ENEA.ST
2016-11-29,88.75,89.0,88.0,88.5,5029,0,0,ENEA.ST
2016-11-30,90.0,90.0,88.75,89.0,5899,0,0,ENEA.ST
2016-12-01,87.75,89.0,87.5,88.5,10207,0,0,ENEA.ST
2016-12-02,88.0,89.25,87.0,88.75,9876,0,0,ENEA.ST
2016-12-05,88.75,89.5,87.75,87.75,8684,0,0,ENEA.ST
2016-12-06,87.5,89.0,87.5,88.25,6221,0,0,ENEA.ST
2016-12-07,88.5,89.0,88.25,88.25,2855,0,0,ENEA.ST
2016-12-08,88.5,89.0,88.25,88.75,14836,0,0,ENEA.ST
2016-12-09,89.0,89.0,88.5,89.0,1099,0,0,ENEA.ST
2016-12-12,88.75,90.0,88.75,89.5,4446,0,0,ENEA.ST
2016-12-13,89.5,91.0,89.0,90.25,9258,0,0,ENEA.ST
2016-12-14,90.25,90.25,89.0,90.0,6939,0,0,ENEA.ST
2016-12-15,88.75,89.5,88.75,89.0,5738,0,0,ENEA.ST
2016-12-16,89.0,89.5,87.0,89.5,17777,0,0,ENEA.ST
2016-12-19,89.5,91.0,89.5,90.5,13090,0,0,ENEA.ST
2016-12-20,91.5,93.0,90.5,90.75,8234,0,0,ENEA.ST
2016-12-21,91.25,93.0,91.0,91.5,4815,0,0,ENEA.ST
2016-12-22,91.5,93.25,91.5,93.25,2112,0,0,ENEA.ST
2016-12-23,93.5,94.0,93.5,93.75,2504,0,0,ENEA.ST
2016-12-27,93.5,94.0,91.5,93.0,7512,0,0,ENEA.ST
2016-12-28,91.5,95.0,91.5,94.0,20218,0,0,ENEA.ST
2016-12-29,94.0,95.0,93.5,94.0,24682,0,0,ENEA.ST
2016-12-30,94.0,96.0,94.0,96.0,6201,0,0,ENEA.ST
2017-01-02,96.0,97.25,95.25,95.25,13169,0,0,ENEA.ST
2017-01-03,94.5,95.25,94.5,95.25,4865,0,0,ENEA.ST
2017-01-04,95.25,96.0,95.0,96.0,2950,0,0,ENEA.ST
2017-01-05,95.5,96.0,95.25,96.0,1496,0,0,ENEA.ST
2017-01-09,97.25,97.25,94.0,95.0,12761,0,0,ENEA.ST
2017-01-10,95.0,96.0,95.0,96.0,4886,0,0,ENEA.ST
2017-01-11,95.0,96.0,94.5,96.0,1807,0,0,ENEA.ST
2017-01-12,95.75,98.0,95.0,95.0,7244,0,0,ENEA.ST
2017-01-13,100.0,100.0,94.5,99.0,17992,0,0,ENEA.ST
2017-01-16,100.0,101.5,96.25,98.0,6268,0,0,ENEA.ST
2017-01-17,97.0,97.0,95.75,96.75,4638,0,0,ENEA.ST
2017-01-18,96.5,97.0,96.25,97.0,1721,0,0,ENEA.ST
2017-01-19,96.5,97.0,96.25,96.5,6838,0,0,ENEA.ST
2017-01-20,97.0,97.0,96.25,96.5,1591,0,0,ENEA.ST
2017-01-23,96.5,97.5,96.25,97.5,1865,0,0,ENEA.ST
2017-01-24,96.25,99.0,96.25,98.0,3205,0,0,ENEA.ST
2017-01-25,97.5,98.25,97.5,98.25,5726,0,0,ENEA.ST
2017-01-26,98.25,98.75,97.5,97.5,594,0,0,ENEA.ST
2017-01-27,97.5,97.75,96.25,96.25,6564,0,0,ENEA.ST
2017-01-30,99.0,99.0,96.25,96.25,8914,0,0,ENEA.ST
2017-01-31,98.0,98.25,97.0,97.0,5724,0,0,ENEA.ST
2017-02-01,97.25,100.0,95.25,97.0,5867,0,0,ENEA.ST
2017-02-02,97.0,98.5,97.0,97.5,5902,0,0,ENEA.ST
2017-02-03,96.25,98.75,96.25,98.5,2182,0,0,ENEA.ST
2017-02-06,99.0,100.0,99.0,100.0,10971,0,0,ENEA.ST
2017-02-07,100.5,102.0,100.5,102.0,5118,0,0,ENEA.ST
2017-02-08,102.0,103.0,100.0,100.0,5292,0,0,ENEA.ST
2017-02-09,100.0,100.0,96.25,98.0,34041,0,0,ENEA.ST
2017-02-10,96.5,97.75,96.5,97.5,16452,0,0,ENEA.ST
2017-02-13,96.25,100.75,96.25,96.25,346290,0,0,ENEA.ST
2017-02-14,96.5,98.75,96.25,98.75,12529,0,0,ENEA.ST
2017-02-15,103.0,106.0,102.5,105.5,34281,0,0,ENEA.ST
